Word,Frequency
g,251231
chips,49770
kettle,41288
smiths,28860
salt,27976
cheese,27890
pringles,25102
doritos,24962
crinkle,23960
corn,22063
original,21560
cut,20754
chip,18645
salsa,18094
chicken,15407
sea,14145
thins,14075
chilli,13895
sour,13882
crisps,12607
vinegar,12402
rrd,11894
infuzions,11057
supreme,10963
ww,10320
popd,9693
cobs,9693
tortilla,9580
tostitos,9471
twisties,9454
sensations,9429
old,9324
paso,9324
dip,9324
el,9324
sweet,7883
lime,7852
chives,7846
tomato,7669
cream,7618
thinly,7507
tyrrells,6442
and,6373
bbq,6351
tangy,6332
grain,6272
waves,6272
lightly,6248
salted,6248
soy,6121
natural,6050
mild,6048
deli,5885
rock,5885
red,5885
thai,4737
burger,4733
swt,4718
honey,4661
nacho,4658
potato,4647
cheezels,4603
ccs,4551
woolworths,4437
basil,3304
pesto,3304
mozzarella,3304
chili,3296
chpshnyjlpno,3296
swtchlli,3269
srcream,3269
ched,3268
pot,3257
splash,3252
of,3252
potatomix,3242
sweetchili,3242
crnkle,3233
orgnl,3233
big,3233
bag,3233
spicy,3229
hot,3229
fig,3219
camembert,3219
barbeque,3210
jalapeno,3204
mexican,3204
light,3188
chp,3185
dorito,3185
sweetspcy,3177
crackers,3174
rib,3174
prawn,3174
southern,3172
chickeng,3170
onion,3162
sourcream,3162
crm,3159
chpsbtrootricotta,3146
smoked,3145
chipotle,3145
infzns,3144
gcamole,3144
crnchers,3144
crn,3144
chpsfetagarlic,3138
veg,3134
sourcreamherbs,3134
strws,3134
siracha,3127
tom,3125
chnky,3125
htg,3125
mexicana,3115
mystery,3114
flavour,3114
med,3114
seasonedchicken,3114
creamchives,3105
crips,3104
slt,3095
vingar,3095
sthrn,3083
friedchicken,3083
bbqmaple,3083
rings,3080
chipco,3010
sr,2984
smith,2963
cheetos,2927
medium,2879
french,2856
whlgrn,1576
cheddrmstrd,1576
snbts,1576
hrbspce,1572
co,1572
tmato,1572
vinegr,1550
tasty,1539
belly,1526
rst,1526
pork,1526
slow,1526
roast,1519
mac,1512
n,1512
papadums,1507
chutny,1507
mango,1507
coconut,1506
snagsauce,1503
sp,1498
truffle,1498
chillilime,1495
barbecue,1489
stacked,1487
onionstacked,1483
chsoniong,1481
balls,1479
chs,1479
bacon,1479
screamonion,1473
pepper,1473
dstyle,1469
compny,1468
grnwves,1468
jam,1468
seasaltg,1468
btroot,1468
plus,1468
chliscreamg,1461
hony,1460
chckng,1460
mzzrlla,1458
steak,1455
chimuchurri,1455
box,1454
bolognese,1451
puffs,1448
originl,1441
saltd,1441
cutsaltvinegrg,1440
oniondip,1438
chikngarlic,1434
aioli,1434
sunbites,1432
frchonin,1432
whlegrn,1432
pc,1431
ncc,1419
garden,1419
fries,1418
